rating	review
5	nice
4	delivery boy was very decent and supportive.👌👍
5	all food is good and tasty . will order again and lots more to explore in bawarchi's menu. 
5	shandar zabardast zindabad .. good going bawarchi keep it up 
5	overall good experience . will order again
1	good but cold of food
5	tasty food . homestyle tasty prepration. 
5	loved it . 5/5 . 
5	very tasty authentic food .. 
5	superb tasty asli dilli wala flavour
5	yummiest manchurian fried rice i have ever had in city . authentic chinese taste. must order once 
5	veey tasty. . order again nd again
1	i have ordered Manchurian fried rice but instead I got only simple fried rice. Feeling like I am cheated by bawarchi restaurant.
1	very bad not properly cooked
5	delicious 
5	chinese cheese kulcha . good fusion of chinsese with punjabi cuisine.  accomplish with dal makhni and yummy butter milk must order 
1	Taste less nd took 55 min to deliver the order
5	I have tried a lot of dishes from bawarchi and choosing the best between them is a really tough task as All dishes are AWESOME.
5	bawarchi satisfied there customer needs🤩
5	Too Helping nature of resturent owners
5	Something good for cocktail party... As the restaurant has mentioned... Good... Quantity was good too... Lage raho 
5	superb taste really supreme thali in taste and quantity
5	Free pizza was not given to me. Pizza hut does fraud till customer's condition is fulfilled.
3	its good 
1	pizza base is not baked properly... it's not crunchy..... then la pinos s pizza is baked properly
5	Good experience.
2	On time!
5	Very bad. Waste of money Pizza Hut no more like before very bad quality
5	pizza got cold........waste of money 
5	rotten pizza
1	mast
2	food is not hot
1	osm
1	no topping they have served only bread
5	Pizza hut vari bad bro😡😡😡😡😡<br/>All pablik pizzz not send pizz hat oder <br/>Vari vari bad test
1	I placed a complete different order and received complete different items not fair !!!!!! Worst placements
1	so bad
1	their was a hair in my order horrible didn't expect this from pizza hut...
1	only cool pizza no socsh
2	1 corn pizza is missing in only vetted 3 pizza out of 4
1	quality not much good and quantity  are less 
2	Was not that good
1	nice 👍
5	There is no ketchup
1	really horrible horrible....I couldn't even eat 
3	I can't receive the dip....very bad🤷
2	only 2 chili flakes send by you and not provided origon masala with Pizza...and if possible please provide 3-4 Tomato sauce pauch with Pizza
1	there were no ketchup how to eat...dry pizza can't consume 
3	good 
1	The phone number was not working to edit the instructions
5	HAD GIVEN VERY VERY VERY VERY LESS CHILLI FLAKES AND NO OREGANO AT ALL VERY DISSAPOINTED
2	please provide catch up also I am giving 3 star because of taste.
1	very bad experience
3	the order we rcd was very very cold and very very late
3	There was no oregano sachets
1	Soft Pizza bread. Enjoyed Weekending.
5	good test
5	it was nice but was not as good 
1	dont buy pizza from pizza hut horrible pizza restuarant.
3	very nice dilivery boy and nice work 
3	The pizza was horrible the bread was stale could not eat the pizza stop making such bad pizzas
2	cheesy baked momos is very bad test and very tangy 
5	Quality food
1	packing was so dumb it was unsealed and so unhealthy and unhygienic 
2	Pizza hut is wrost never order it and after ordering it i got another order and even after that there is not any issue…….
5	😊
5	Pepsi not available why?
5	worst just wasted my money
5	everytime good experience this time it's was not good it's Money waste 
2	kitna oily tha 
1	Great
1	Great
5	not good not bad
2	nice 
1	total careless restaurant not following order given by the customer please do not give further order for this restaurant
4	paav kio nhi bheja
1	no paper dish
1	noodles is very spicy can't to eat it... and chilli paneer was small bad I don't have it
1	excellent 
1	nice man 
5	Please send full order then say how’s taste
4	thank you for corporation 
1	not good
1	very nice 
3	Mouth Watering Food 
5	Excellent Food 
5	Delicious dish
1	osum test
2	spoon nahi diya hai  order k sath spoon dena cahiye  
1	taste is very bad
5	🌺
5	send cutlery in future for convenience outdoor eating 
1	not fresh
4	awesome test 
1	Full tasty paw vaji...
5	Good taste Good service Thanks for accepting free soup 
4	Not yummy Not test full<br/>
1	machaow soup didn't send
4	nice
1	exilent 
1	hhh
4	exlinat deliver boy
5	not satisfied with  customer service 
5	bad food 
2	please follow customer's instructions properly. I have asked to not to make anything spicy but you guys made it too spicy.
5	perfect 
5	supb
1	Worthless
5	I have ordered grill cheese sandwich and there is no cheese 
5	good fast best
1	I have received wrong parcel total fraud with me
1	Horrible… don’t ruin your name by giving this types of food
5	bakavash
1	Want to return it
1	i never expected they will send maked dosa<br/>
1	delivery boy was very kind 
1	very smelly pav bhaji
2	Finger licking delicious as alwaysss !
5	good 
1	order delivery before time.tks
4	bhai ishse ghatiya kuchh nahi khaya aaj tak
5	ok
2	not taeste
1	Don’t send cutlery
4	very good savis
3	Please follow the customer's instructions properly.
5	best Peking on food 
1	masala pav is not came in order so please next time take care for that
1	the mysore masala sabji was just so bad in taste it smells and tastes like shit
1	Delicious Food 
1	good service 
1	worst pulao ever
1	Spoon Not available
3	delivery boy good anf helpfull and very good beheviar.. i like her talking way and service.
1	🥄 spoon nhi tha yahi hai buss<br/>wrna or sab msttt
5	masala pav aaya hai nay tu kisa star do
1	food was spicy
1	late dilivery and food boht bakvas tha <br/>never order from this restaurant
4	very bad food deleverd. 
1	Thanks. great food. love that you are take in account customer Notes for food. will order in future. Cheers!
1	good
1	everything was good just a suggestion to please keep spoons and tissues as well 
4	so late delivery
5	good 
5	good
5	plz read instruction 
1	bhaji need to supply in containers...stop in plastic bag
1	It is like rubber. Hard to chew... this is first time I am having a sandwich like this
1	They don't cancel order
5	yummy....too good as usevl
1	I have ordered cold coffee and they delivered thik shake
5	6 bola tha fir bi only 1 pc 
4	superb
1	it's peanuts shake. other flavours are far much better.
1	size of both item is very less 
1	your delivery is best but within 1 km range 70 rupees item turns 105 rupees is too much
1	sugar  
5	very nice
5	totally stale food.
5	tasty 😋
3	good 😊
5	Taste is so good.. 👍👌
5	जादा ठिक नही था
5	अच्छा नही था
3	bad
1	osm delivery 
3	good
5	not good quality not good test
3	very laziz 
5	Best service by the delivery boy
1	pizza packing &amp; test is desi. coco excellent
5	Good
2	okk
5	nice
5	super 
1	No
5	Good one 
5	❤️‍🩹<br/>
